,vac_id,vac_name,city,published_at,archived,experience,url,employer_id,schedule_name,employment_name,prof_role
0,122521980,Младший аналитик данных,Москва,2025-07-08T12:02:54+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122521980,88618,Удаленная работа,Полная занятость,Аналитик
1,122573255,Аналитик данных / Data Analyst,Москва,2025-07-09T13:26:45+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122573255,839098,Удаленная работа,Полная занятость,"BI-аналитик, аналитик данных"
2,122540411,Аналитик данных,Санкт-Петербург,2025-07-08T16:42:47+0300,False,От 3 до 6 лет,https://hh.ru/vacancy/122540411,4334427,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
3,121091720,Intern Data Analyst / Стажер - аналитик данных,Москва,2025-07-08T10:24:56+0300,False,Нет опыта,https://hh.ru/vacancy/121091720,4949,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
4,122289965,Аналитик данных,Санкт-Петербург,2025-07-08T09:37:00+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122289965,2638816,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
5,122450018,"Аналитик данных (Power Bi, SQL, Python)",Москва,2025-07-07T08:49:02+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122450018,1101325,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
6,119299988,Аналитик данных/Data Analyst,Санкт-Петербург,2025-07-06T17:55:05+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/119299988,114223,Полный день,Полная занятость,Бизнес-аналитик
7,122501699,Аналитик данных,Владивосток,2025-07-08T03:05:56+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122501699,5920492,Полный день,Полная занятость,Бизнес-аналитик
8,122448160,Аналитик данных,Казань,2025-07-07T08:09:29+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122448160,15848,Полный день,Полная занятость,Аналитик
9,122551459,Аналитик данных/Junior аналитик e-com,Москва,2025-07-09T07:57:42+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122551459,10970452,Удаленная работа,Полная занятость,Другое
10,122469452,Аналитик данных,Москва,2025-07-07T12:50:39+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122469452,11250766,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
